0.4.1	0												
ID	TYPE	TITLE	DESC	CTA	CANCEL	START_DATE	END_DATE	FREQUENCY	HIDE_IF_PACKS_BOUGHT	SHOW_ON_FIRST_OPEN	TITLE_HAS_VARIABLE	DESC_HAS_VARIABLE	VARIABLE_DATE
16	1	👋 Bienvenue sur Sign 3D !	<size=55>📚 <b>Bienvenue dans votre nouveau dictionnaire de langue des signes !</b></size>\n\nVous avez <b>200 signes gratuits</b> en libre accès pour commencer à explorer le vocabulaire de la LSF.\n\n\n<size=55>🔓 <b>Besoin de plus ?</b></size>\nVous pouvez débloquer des packs de signes supplémentaires dans le Store pour enrichir encore davantage votre apprentissage.	🔓 <b>Découvrir les packs disponibles</b>	Plus tard	2025/06/30		0	0	1	0	0	
17	1	Enrichissez votre dictionnaire !	Vous utilisez déjà les 200 signes gratuits de Sign 3D ?\n\n\n<size=55>📚 <b>Pourquoi ne pas aller plus loin ?</b></size>\n\n\nDébloquez de nouveaux packs de signes adaptés à vos besoins pour <b>compléter votre vocabulaire en langue des signes</b> et progresser à votre rythme !	🛒 <b>Explorer les packs disponibles</b>	Plus tard			6	1	0	0	0	
18	1	👐 Vous aimez Sign 3D ? 👐	Votre avis compte ! Si vous appréciez notre app, laissez-nous une note et un commentaire. Cela nous aide énormément ! 😊	👉 <b>Noter l’app</b>	Plus tard			6	0	0	0	0	
19	1	Bienvenue dans Sign 3D ! 👋	<size=55>🎉 <b>Bonne nouvelle !</b></size>\n\nPour la rentrée, <b>tous les packs de signes supplémentaires sont à -50% 💥</b>\n\n📚 <b>Profitez-en dès maintenant pour enrichir votre vocabulaire en langue des signes !</b>	🔓 <b>Découvrir les packs disponibles</b>	Plus tard	2025/09/01	2025/09/30	0	1	1	0	0	
20	1	🎉 Bonne nouvelle ! 👋	Pour la rentrée, <b>tous les packs de signes supplémentaires sont à -50% 💥</b>\n\n📚 <b>Profitez-en dès maintenant pour enrichir votre vocabulaire en langue des signes !</b>	🔓 <b>Découvrir les packs disponibles</b>	Plus tard	2025/09/01	2025/09/15	0	1	0	0	0	
21	1	⏳ Plus que $0 jours pour profiter de -50% !	La <b>promo de rentrée</b> se termine dans <b>$0 jours</b>.\n\nC'est le moment ou jamais de débloquer les packs de signes à <b>moitié prix</b> et d'enrichir ton apprentissage !	🛒 <b>Profiter de l'offre maintenant</b>	Plus tard	2025/09/16	2025/09/23	0	1	0	1	1	2025/10/01
22	1	🕒 La fin de la promo approche !	Attention ! La promo de rentrée se termine dans quelques jours.\n\n👉 Profite encore des <b>packs de signes à -50%</b> avant le retour au tarif normal.	🔥 <b>Débloquer mes packs à -50%</b>	Plus tard	2025/09/24	2025/09/27	0	1	0	0	0	
23	1	🚨 Plus que $0 jours !	La promo de rentrée se termine dans <b>$0 jours</b>.\n\nC'est le moment ou jamais de débloquer les packs de signes <b>à moitié prix</b> et d'enrichir ton apprentissage !	🔓 <b>Débloquer les packs à moitié prix</b>	Plus tard	2025/09/28	2025/09/29	0	1	0	1	1	2025/10/01
24	1	⏰ Dernières heures pour les -50% !	C’est ta <b>dernière chance</b> ! La promo de rentrée s'achève aujourd'hui.\n\n👉 Débloque tes packs de signes à <b>-50%</b> avant la fin !	🛒 <b>Profiter de l'offre maintenant</b>	Plus tard	2025/09/30	2025/09/30	0	1	0	0	0	
25	1	🔍 Enrichissez votre dictionnaire !	<size=55>📦 <b>Envie d'en apprendre plus ?</b></size>\nVous pouvez <b>débloquer des packs de signes supplémentaires</b> directement depuis le <b>Store</b> de l'app. Enrichissez votre vocabulaire selon vos besoins !	🛒 <b>Découvrir les packs disponibles</b>	Plus tard	2025/10/01		0	1	0	0	0	
26	2	👋 Bienvenue sur Sign 3D !	Plongez dans l’apprentissage du vocabulaire de la langue des signes française ! \n\n👐 Bonne exploration ! 🤗		Plus tard	2025/09/01	01/10/25	0	1	0	0	0	
27	2	🎉 Offre spéciale ! 	Profitez de -50% sur tous les packs de signes 👐 Ne ratez pas cette chance !\n\n📅 Offre valable encore $0 jours	👉 J’en profite !	Plus tard	2025/09/01	01/10/25	0	1	0	0	1	2025/10/01
28	3	🎉 Offre spéciale !	Pour la rentrée, profite des packs de signes à -50%. N'attends plus pour enrichir ton vocabulaire en LSF !			2025/09/01		0	1	0	0	0	
29	3	⏳ Plus que 15 jours pour profiter des -50%	La promo de rentrée se termine bientôt ! 🎯 Débloque tes packs de signes avant qu’il ne soit trop tard ! !			2025/09/15		0	1	0	0	0	
30	3	🕒 Dernière ligne droite !	Il te reste 7 jours pour profiter de -50% sur tous les packs de signes. Profite-en avant la fin ! 🚀			2025/09/23		0	1	0	0	0	
31	3	🚨 Offre promo : dernier rappel !	 Dans 3 jours, c’est fini ! Débloque tes packs à -50%. N'attends plus pour enrichir ton vocabulaire en LSF !			2025/09/27		0	1	0	0	0	
32	3	⏰ Dernières heures pour profiter des -50% !	 C’est ta dernière chance ! La promo de rentrée se termine aujourd'hui. Débloque tes packs de mots à moitié prix ! 			2025/09/30		0	1	0	0	0	
33	3	👻 Apprenez les signes d’Halloween ! 🕸️	🎃 Découvrez notre playlist spéciale pour frissonner en langue des signes dans Sign 3D ! 🦇✨			2025/10/25		0	0	0	0	0	
34	3	🕊 La Toussaint en langue des signes🕯️	Prenez un moment pour découvrir les signes associés à la Toussaint dans Sign 3D			2025/11/01		0	0	0	0	0	
35	3	🤝 C'est la Semaine du Handicap ! ♿	Découvrez le vocabulaire spécial en langue des signes			2025/11/18		0	0	0	0	0	
36	3	🎅 Célébrez Noël en langue des signes ! 🎁	🎄Découvrez notre playlist spéciale Noël dans Sign 3D ❄️✨			2025/12/24		0	0	0	0	0	
37	3	🎆 Bonne année en langue des signes !	Apprenez les signes pour fêter la nouvelle année en LSF 🎊			2025/12/31		0	0	0	0	0	
38	3	❤️ C'est la Saint-Valentin 💕	Déclarez votre amour en langue des signes pour une Saint-Valentin inoubliable 💘			2026/02/14		0	0	0	0	0	
39	3	⛄ Vacances d’hiver : partez avec les bons signes !	Ski, montagne, chocolat chaud… Découvrez les signes de l’hiver !			2026/02/21		0	0	0	0	0	
40	3	🌙 Le Ramadan en langue des signes !	Découvrez notre playlist spéciale pour parler du Ramadan en langue des signes			2026/02/17		0	0	0	0	0	
41	3	👩 Journée des Droits de la Femme ✊	Découvrez les signes dédiés à cette journée importante.			2026/03/08		0	0	0	0	0	
42	3	☘ Saint-Patrick 🍀	Bière, trèfle, Irlande… Apprenez les signes festifs du jour !			2026/03/17		0	0	0	0	0	
43	3	🐟 Poisson d’avril 🎣	Découvrez notre playlist spéciale pour ne pas vous faites pas avoir… en langue des signes !			2026/04/01		0	0	0	0	0	
44	3	🌸 Vacances de Printemps 🌼	Apprenez les signes des beaux jours et des activités en plein air !			2025/04/05		0	0	0	0	0	
45	3	🍫 Joyeuses Pâques en langue des signes !	🐰Apprenez les signes du chocolat, des œufs et de la fête de Pâques !			2025/04/20		0	0	0	0	0	
46	3	🌿 Fête du Travail 🔨	Apprenez les signes du travail et de la solidarité !			2025/05/01		0	0	0	0	0	
47	3	🎥 Festival de Cannes 🎬	Faites votre cinéma en langue des signes !			2025/05/13		0	0	0	0	0	
48	3	👩‍👧 Fête des Mères💐	Dites "Je t’aime Maman" en langue des signes !  Découvrez notre playlist spéciale !			2025/05/25		0	0	0	0	0	
49	3	🏳️‍🌈 Mois des Fiertés en Langue des signes 🌈	Apprenez les signes de la diversité !			2025/06/01		0	0	0	0	0	
50	3	👨‍👦 Fête des Pères 🎁	Découvrez les signes pour dire merci à votre papa !			2025/06/15		0	0	0	0	0	
51	3	🎓 Baccalauréat 📚	Prêts pour le bac ? Découvrez notre playlist spéciale examens !			2025/06/13		0	0	0	0	0	
52	3	🎶 Fête de la Musique 🎵	Découvrez notre playlist des instruments et du vocabulaire musical !			2025/06/21		0	0	0	0	0	
53	3	🌞 Vacances d’été en Langue des signes 🏖	Soleil, mer, voyage… Apprenez les signes de l’été !			2025/07/01		0	0	0	0	0	
54	3	🎆 Célébrez le 14 Juillet en langue des signes !	Découvrez les signes du feu d’artifice, du défilé et de la fête !			2025/07/14		0	0	0	0	0	
55	3	🎒 Rentrée Scolaire 📚	📚 C’est la rentrée ! Apprenez les signes de l’école !			2025/09/01		0	0	0	0	0	
56	3	👐 Journée Mondiale des Sourds 🤟	Célébrons la langue des signes ensemble !			2025/09/27		0	0	0	0	0	
57	3	🕎 Hanoucca 🕯	Joyeux Hanoucca ! Découvrez notre playlist spéciale !			2025/12/14		0	0	0	0	0	
